timestamp,temperatura,pH ,conductividad,TDS,Sal.[psu],Press.[psi],DO_mgL
2021-11-17 18:47:35,17.51,5.55,655,0.327,0.32,10.793,3.92
2021-11-17 18:47:40,17.51,5.55,655,0.327,0.32,10.7909999999999,3.92
2021-11-17 18:47:45,17.51,5.55,655,0.327,0.32,10.792,4.04
2021-11-17 18:47:50,17.51,5.55,655,0.327,0.32,10.7909999999999,4.14
2021-11-17 18:47:55,17.51,5.55,655,0.327,0.32,10.7909999999999,4.11
2021-11-17 18:48:00,17.51,5.55,655,0.327,0.32,10.79,4.07
2021-11-17 18:48:05,17.5,5.55,655,0.327,0.32,10.79,4.04
2021-11-17 18:48:10,17.5,5.55,655,0.327,0.32,10.792,4.02
2021-11-17 18:48:15,17.5,5.55,655,0.327,0.32,10.792,3.99
2021-11-17 18:48:20,17.5,5.55,655,0.327,0.32,10.7909999999999,3.98
2021-11-17 18:48:25,17.5,5.55,655,0.327,0.32,10.793,4.01
2021-11-17 18:48:30,17.5,5.55,655,0.327,0.32,10.794,4.05
2021-11-17 18:48:35,17.5,5.55,655,0.327,0.32,10.794,4.05
2021-11-17 18:48:40,17.5,5.55,655,0.327,0.32,10.793,4.06
2021-11-17 18:48:45,17.5,5.55,655,0.327,0.32,10.795,4.12
2021-11-17 18:48:50,17.5,5.55,655,0.327,0.32,10.794,4.15
2021-11-17 18:48:55,17.5,5.55,655,0.327,0.32,10.797,4.15
2021-11-17 18:49:00,17.5,5.55,655,0.327,0.32,10.796,4.17
2021-11-17 18:49:05,17.5,5.55,655,0.327,0.32,10.796,4.16
2021-11-17 18:49:10,17.5,5.55,655,0.327,0.32,10.797,4.15
2021-11-17 18:49:15,17.5,5.55,655,0.327,0.32,10.797,4.15
2021-11-17 18:49:20,17.5,5.55,655,0.327,0.32,10.793,4.14
2021-11-17 18:49:25,17.5,5.55,655,0.327,0.32,10.7909999999999,4.11
2021-11-17 18:49:30,17.5,5.55,655,0.327,0.32,10.7909999999999,4.09
2021-11-17 18:49:35,17.5,5.55,655,0.327,0.32,10.79,4.07
2021-11-17 18:49:40,17.5,5.55,655,0.327,0.32,10.792,4.06
2021-11-17 18:49:45,17.5,5.55,655,0.327,0.32,10.7909999999999,4.09
2021-11-17 18:49:50,17.5,5.55,655,0.327,0.32,10.793,4.22
2021-11-17 18:49:55,17.5,5.55,655,0.327,0.32,10.79,4.2
2021-11-17 18:50:00,17.5,5.55,655,0.327,0.32,10.792,4.17
2021-11-17 18:50:05,17.5,5.55,655,0.327,0.32,10.7909999999999,4.13
2021-11-17 18:50:10,17.5,5.55,655,0.327,0.32,10.793,4.1
2021-11-17 18:50:15,17.5,5.55,655,0.327,0.32,10.793,4.07
2021-11-17 18:50:20,17.5,5.55,655,0.327,0.32,10.794,4.04
2021-11-17 18:50:25,17.5,5.55,655,0.327,0.32,10.793,4.02
2021-11-17 18:50:30,17.5,5.55,655,0.327,0.32,10.794,4.03
2021-11-17 18:50:35,17.49,5.55,655,0.327,0.32,10.7909999999999,4.01
2021-11-17 18:50:40,17.49,5.55,655,0.327,0.32,10.793,4.0
2021-11-17 18:50:45,17.49,5.55,655,0.327,0.32,10.794,3.98
2021-11-17 18:50:50,17.49,5.55,655,0.327,0.32,10.794,4.0
2021-11-17 18:50:55,17.49,5.55,655,0.327,0.32,10.793,4.03
2021-11-17 18:51:00,17.49,5.55,655,0.327,0.32,10.792,4.04
2021-11-17 18:51:05,17.49,5.55,655,0.327,0.32,10.79,4.03
2021-11-17 18:51:10,17.49,5.55,655,0.327,0.32,10.7909999999999,4.06
2021-11-17 18:51:15,17.49,5.55,655,0.327,0.32,10.7909999999999,4.05
2021-11-17 18:51:20,17.49,5.55,655,0.327,0.32,10.793,4.03
2021-11-17 18:51:25,17.49,5.55,655,0.327,0.32,10.794,4.02
2021-11-17 18:51:30,17.49,5.55,655,0.327,0.32,10.792,4.01
2021-11-17 18:51:35,17.49,5.55,655,0.327,0.32,10.794,4.0
2021-11-17 18:51:40,17.49,5.55,655,0.327,0.32,10.795,4.07
2021-11-17 18:51:45,17.49,5.55,655,0.327,0.32,10.795,4.06
2021-11-17 18:51:50,17.49,5.55,655,0.327,0.32,10.796,4.05
2021-11-17 18:51:55,17.49,5.55,655,0.327,0.32,10.795,4.07
2021-11-17 18:52:00,17.49,5.55,655,0.327,0.32,10.793,4.06
2021-11-17 18:52:05,17.49,5.55,655,0.327,0.32,10.7909999999999,4.15
2021-11-17 18:52:10,17.49,5.55,655,0.327,0.32,10.793,4.26
2021-11-17 18:52:15,17.49,5.55,655,0.327,0.32,10.792,4.28
2021-11-17 18:52:20,17.49,5.55,655,0.327,0.32,10.793,4.25
2021-11-17 18:52:25,17.49,5.55,655,0.327,0.32,10.795,4.2
2021-11-17 18:52:30,17.49,5.55,655,0.327,0.32,10.794,4.15
2021-11-17 18:52:35,17.49,5.55,655,0.327,0.32,10.795,4.14
2021-11-17 18:52:40,17.49,5.55,655,0.327,0.32,10.797,4.15
2021-11-17 18:52:45,17.49,5.55,655,0.327,0.32,10.795,4.12
2021-11-17 18:52:50,17.49,5.55,655,0.327,0.32,10.798,4.09
2021-11-17 18:52:55,17.49,5.55,655,0.327,0.32,10.796,4.11
2021-11-17 18:53:00,17.49,5.55,655,0.327,0.32,10.795,4.18
2021-11-17 18:53:05,17.49,5.55,655,0.327,0.32,10.794,4.22
2021-11-17 18:53:10,17.49,5.55,655,0.327,0.32,10.795,4.16
2021-11-17 18:53:15,17.49,5.55,655,0.327,0.32,10.794,4.12
2021-11-17 18:53:20,17.49,5.55,655,0.327,0.32,10.796,4.12
2021-11-17 18:53:25,17.49,5.55,655,0.327,0.32,10.795,4.11
2021-11-17 18:53:30,17.49,5.55,655,0.327,0.32,10.796,4.09
2021-11-17 18:53:35,17.49,5.55,655,0.327,0.32,10.795,4.07
2021-11-17 18:53:40,17.49,5.55,655,0.327,0.32,10.795,4.05
2021-11-17 18:53:45,17.49,5.55,655,0.327,0.32,10.794,4.02
2021-11-17 18:53:50,17.49,5.55,655,0.327,0.32,10.794,4.0
2021-11-17 18:53:55,17.49,5.55,655,0.327,0.32,10.794,3.97
2021-11-17 18:54:00,17.49,5.55,655,0.327,0.32,10.793,3.95
2021-11-17 18:54:05,17.49,5.55,655,0.327,0.32,10.795,3.92
2021-11-17 18:54:10,17.48,5.55,655,0.327,0.32,10.797,3.95
2021-11-17 18:54:15,17.48,5.55,655,0.327,0.32,10.796,3.98
2021-11-17 18:54:20,17.48,5.55,655,0.327,0.32,10.795,4.11
2021-11-17 18:54:25,17.48,5.55,655,0.327,0.32,10.794,4.12
2021-11-17 18:54:30,17.48,5.55,655,0.327,0.32,10.794,4.09
2021-11-17 18:54:35,17.48,5.55,655,0.327,0.32,10.794,4.06
2021-11-17 18:54:40,17.48,5.55,655,0.327,0.32,10.795,4.03
2021-11-17 18:54:45,17.48,5.54,655,0.327,0.32,10.794,4.02
2021-11-17 18:54:50,17.48,5.55,655,0.327,0.32,10.796,3.99
2021-11-17 18:54:55,17.48,5.55,655,0.327,0.32,10.798,3.95
2021-11-17 18:55:00,17.48,5.55,655,0.327,0.32,10.797,3.93
2021-11-17 18:55:05,17.48,5.55,655,0.327,0.32,10.795,3.95
2021-11-17 18:55:10,17.48,5.55,655,0.327,0.32,10.795,3.98
2021-11-17 18:55:15,17.48,5.54,655,0.327,0.32,10.795,4.01
2021-11-17 18:55:20,17.48,5.55,655,0.327,0.32,10.797,4.04
2021-11-17 18:55:25,17.48,5.55,655,0.327,0.32,10.795,4.01
